iter	Passed	Remaining
0	2	1156
1	4	929
2	7	940
3	8	853
4	10	806
5	12	823
6	14	806
7	15	771
8	17	775
9	18	738
10	20	726
11	22	712
12	23	694
13	24	676
14	25	662
15	26	643
16	28	635
17	29	625
18	30	616
19	31	605
20	33	596
21	34	587
22	35	580
23	36	568
24	37	561
25	38	555
26	39	550
27	40	544
28	42	540
29	43	534
30	44	528
31	45	525
32	46	519
33	47	512
34	48	506
35	49	500
36	50	495
37	51	491
38	52	486
39	53	482
40	54	476
41	55	471
42	56	467
43	57	463
44	58	458
45	58	453
46	59	449
47	60	446
48	61	443
49	63	442
50	64	441
51	65	437
52	66	435
53	67	432
54	68	430
55	69	427
56	70	426
57	71	423
58	72	419
59	73	417
60	74	414
61	75	412
62	76	410
63	77	406
64	78	406
65	79	404
66	80	402
67	82	400
68	82	397
69	84	396
70	85	394
71	86	393
72	87	391
73	88	389
74	89	387
75	90	385
76	91	383
77	92	381
78	93	379
79	94	377
80	95	374
81	96	373
82	97	371
83	98	369
84	99	367
85	100	365
86	101	364
87	102	362
88	103	360
89	104	358
90	105	356
91	106	355
92	107	353
93	107	351
94	108	349
95	109	346
96	110	344
97	111	343
98	112	342
99	113	340
100	114	338
101	115	336
102	115	334
103	117	333
104	118	331
105	119	330
106	120	328
107	121	327
108	121	325
109	122	324
110	123	322
111	124	321
112	125	319
113	126	317
114	127	316
115	128	315
116	130	315
117	131	313
118	132	311
119	133	310
120	133	308
121	134	307
122	135	305
123	136	303
124	137	302
125	138	300
126	138	298
127	139	297
128	140	295
129	141	293
130	142	292
131	143	290
132	143	288
133	144	287
134	145	286
135	146	284
136	147	283
137	148	281
138	149	280
139	150	279
140	151	278
141	152	276
142	153	275
143	153	273
144	154	272
145	155	270
146	156	269
147	157	268
148	158	266
149	159	265
150	160	264
151	161	262
152	161	261
153	162	260
154	163	258
155	164	257
156	165	256
157	166	254
158	167	253
159	168	252
160	169	251
161	170	250
162	171	249
163	172	247
164	173	246
165	174	245
166	175	244
167	176	243
168	177	242
169	178	241
170	179	240
171	180	239
172	181	237
173	182	236
174	182	235
175	183	233
176	184	232
177	185	231
178	186	230
179	187	229
180	188	227
181	189	226
182	190	225
183	191	224
184	192	223
185	193	222
186	193	220
187	194	219
188	195	218
189	196	217
190	197	216
191	198	215
192	199	213
193	200	212
194	201	211
195	202	210
196	203	209
197	204	208
198	204	207
199	205	205
200	206	204
201	207	203
202	208	202
203	209	201
204	210	200
205	211	198
206	212	197
207	213	196
208	214	195
209	215	194
210	216	193
211	216	192
212	217	191
213	218	190
214	220	189
215	221	188
216	221	187
217	222	186
218	224	185
219	225	184
220	226	183
221	226	181
222	227	180
223	228	179
224	229	178
225	230	177
226	231	176
227	232	175
228	233	174
229	234	173
230	235	172
231	236	171
232	237	170
233	238	169
234	239	168
235	240	166
236	241	166
237	242	164
238	243	163
239	244	162
240	245	161
241	246	160
242	247	159
243	248	158
244	249	157
245	250	156
246	251	155
247	252	154
248	253	153
249	254	152
250	254	151
251	255	150
252	256	149
253	257	148
254	258	146
255	259	145
256	260	144
257	260	143
258	261	142
259	262	141
260	263	140
261	264	139
262	265	138
263	266	137
264	266	135
265	268	135
266	269	134
267	269	132
268	270	131
269	271	130
270	272	129
271	273	128
272	274	127
273	275	126
274	275	125
275	276	124
276	277	123
277	278	122
278	279	121
279	280	120
280	281	119
281	282	118
282	282	116
283	283	115
284	284	114
285	285	113
286	286	112
287	287	111
288	288	110
289	289	109
290	290	108
291	291	107
292	292	106
293	293	105
294	294	104
295	295	103
296	296	102
297	297	101
298	298	100
299	299	99
300	299	98
301	300	97
302	301	96
303	302	95
304	304	94
305	305	93
306	306	92
307	307	91
308	308	90
309	309	89
310	309	88
311	310	87
312	311	86
