crop_id,filename,crop_path,cyclone_name,season,cyclone_unique_id,split,timestamp,latitude,longitude,wind_speed_kmh,category,structural_pattern,cyclone_detected
1,mosdac_AMPHAN_2020_0001_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0001_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 00:00:00 UTC,9.5,87.6,103.0,Severe Cyclonic Storm,curved_band,True
2,mosdac_AMPHAN_2020_0002_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0002_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 03:00:00 UTC,9.51,87.45,108.5,Severe Cyclonic Storm,curved_band,True
3,mosdac_AMPHAN_2020_0003_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0003_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 06:00:00 UTC,9.52,87.3,108.3,Severe Cyclonic Storm,curved_band,True
4,mosdac_AMPHAN_2020_0004_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0004_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 09:00:00 UTC,9.53,87.19,109.4,Severe Cyclonic Storm,curved_band,True
5,mosdac_AMPHAN_2020_0005_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0005_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 12:00:00 UTC,9.54,87.09,108.3,Severe Cyclonic Storm,curved_band,True
6,mosdac_AMPHAN_2020_0006_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0006_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 15:00:00 UTC,9.55,86.98,111.0,Severe Cyclonic Storm,curved_band,True
7,mosdac_AMPHAN_2020_0007_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0007_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 18:00:00 UTC,9.56,86.88,113.3,Severe Cyclonic Storm,curved_band,True
8,mosdac_AMPHAN_2020_0008_Very_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0008_Very_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 21:00:00 UTC,9.56,86.77,123.1,Very Severe Cyclonic Storm,eye_visible,True
9,mosdac_AMPHAN_2020_0009_Very_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0009_Very_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 00:00:00 UTC,9.58,86.67,124.4,Very Severe Cyclonic Storm,eye_visible,True
10,mosdac_AMPHAN_2020_0010_Very_Severe_Cyclonic_Storm.png,data/p2_mosdac_expanded/crops\mosdac_AMPHAN_2020_0010_Very_Severe_Cyclonic_Storm.png,AMPHAN,2020,AMPHAN_2020,train,2020-05-10 03:00:00 UTC,9.63,86.61,129.0,Very Severe Cyclonic Storm,eye_visible,True
