sample_id,crop_filename,crop_path,crop_sha256,source_raw_sha256,source_raw_file,cyclone_unique_id,cyclone_name,season,split,observation_timestamp_utc,matched_track_timestamp_utc,time_difference_minutes,center_latitude,center_longitude,projected_pixel_x,projected_pixel_y,projection_method,wind_speed_kmh,wind_units,intensity_category,intensity_label_source,structural_pattern,pattern_label_source,pattern_ground_truth_status,provenance_status,cyclone_detected
P7_MOSDAC_0000,p7_mosdac_FANI_2019_0000_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_FANI_2019_0000_Very_Severe_Cyclonic_Storm.png,3fe48c6d57fbd53a7abd8b1a1123a7857cb97ff5480106a76b3017dceb6e26d6,6c784cace01099f640e6b4c9eedf595866fce091082311e6a5ed65a4b4fac1ea,101.jpeg,FANI_2019,FANI,2019,train,2019-04-25 18:00:00,2019-04-25 18:00:00,0.0,1.9,90.2,167.8,176.0,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0001,p7_mosdac_AMPHAN_2020_0001_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_AMPHAN_2020_0001_Very_Severe_Cyclonic_Storm.png,db3e06b72efd518ff76b2c629a4f2acece4aff3243f3190f03697a6de33ac791,84285b0faf8736249e128e1c5a54e4499cdf4573b1e119b2548f7341e149eac5,102.jpeg,AMPHAN_2020,AMPHAN,2020,train,2020-05-15 06:00:00,2020-05-15 06:00:00,0.0,9.5,87.5,157.9,145.3,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0002,p7_mosdac_HUDHUD_2014_0002_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_HUDHUD_2014_0002_Very_Severe_Cyclonic_Storm.png,dc6eb21ff3a5f19c0c39d15a86c207271ea019ae605ce8ad221fedb497b00988,c50cf71245d290dd6bedcb9d4b09664c063457ba0e8731e2c3262c8ff765b2a6,106.jpeg,HUDHUD_2014,HUDHUD,2014,train,2014-10-06 06:00:00,2014-10-06 06:00:00,0.0,10.7,96.1,189.5,140.5,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0003,p7_mosdac_TITLI_2018_0003_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_TITLI_2018_0003_Very_Severe_Cyclonic_Storm.png,b3e8bce0ca4899388b9ae7f70cd01ea2c1f52ee464a2afbc3ac74e3f84ec6727,667cbb33b5334d6002c9c163a7b1fce875434e56b79f57dd7e80cdd3738aefa3,111.jpeg,TITLI_2018,TITLI,2018,train,2018-10-08 00:00:00,2018-10-08 00:00:00,0.0,14.2,88.4,161.2,126.3,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0004,p7_mosdac_GAJA_2018_0004_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_GAJA_2018_0004_Depression.png,61453f6099c3a17c9eae4ee024feba70181ed2afc2dbf85d7d8e65e35f804452,56c4019f8480b15f6e5f9ff7f0af09a1904751921dee1ab9f6fcc8207c1252c7,112.jpeg,GAJA_2018,GAJA,2018,train,2018-11-10 03:00:00,2018-11-10 03:00:00,0.0,11.7,92.5,176.3,136.4,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0005,p7_mosdac_BULBUL_2019_0005_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_BULBUL_2019_0005_Very_Severe_Cyclonic_Storm.png,e040a4bf6f29c12c70f2ae9e82dfdb10da3a84749bdd4721deec6aad14f14bf7,b00c770cc2d064e8ca6afa1fcde49a1de94fee543e405835df141a23f36d5e74,115.jpeg,BULBUL_2019,BULBUL,2019,train,2019-04-25 18:00:00,2019-04-25 18:00:00,0.0,1.9,90.2,167.8,176.0,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0006,p7_mosdac_GULAB_2021_0006_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_GULAB_2021_0006_Depression.png,0764b0cf81908c2315f5e8a4b4b1309d840b7e2f5236a34e36d9fcd26b15deca,30ae1381a7edf2baff45076db8f86f0b831a9cacd1a7cffcddfd76edea685ffe,118.jpeg,GULAB_2021,GULAB,2021,train,2021-04-02 00:00:00,2021-04-02 00:00:00,0.0,11.0,96.3,190.2,139.2,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0007,p7_mosdac_JAWAD_2021_0007_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_JAWAD_2021_0007_Very_Severe_Cyclonic_Storm.png,ecd44066f2140c078c3b18cc4f9d3ecc3abc7c3c2d71c855ef83599c8a191880,dfa6277001643e87f97492859b62e1bb44319ddf55a221df971edfdb62187aae,119.jpeg,JAWAD_2021,JAWAD,2021,train,2021-11-30 18:00:00,2021-11-30 18:00:00,0.0,8.4,96.3,190.2,149.7,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0008,p7_mosdac_FENGAL_2024_0008_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_FENGAL_2024_0008_Very_Severe_Cyclonic_Storm.png,164fc701f25e9c875dbd96cddafea1a2103afb463100f2322b63eafa133984dc,ed7dc5018393cfab7751611a95a109718ca79ff0fabc607934a49fef07374ff5,128.jpeg,FENGAL_2024,FENGAL,2024,train,2024-11-23 18:00:00,2024-11-23 18:00:00,0.0,3.6,88.9,163.0,169.1,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0009,p7_mosdac_UNNAMED_2018_DD_0009_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_UNNAMED_2018_DD_0009_Depression.png,7b6f24a1d3f7f219aa4aff694d87bd5d3295516abfd60497ee8a06ab48b0e627,7c83f60171f19f24a65a6f30ec8fab4200399958b7af7531ae5e7f2542f01da1,25.jpeg,UNNAMED_2018_DD,UNNAMED,2018,train,2018-03-13 03:00:00,2018-03-13 03:00:00,0.0,5.0,76.0,115.7,163.5,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
