sample_id,SID,input_start_time,input_end_time,target_6h_time,target_12h_time,target_24h_time
0,1980284N09092,1980-10-10 06:00:00,1980-10-11 06:00:00,1980-10-11 12:00:00,1980-10-11 18:00:00,1980-10-12 06:00:00
1,1980284N09092,1980-10-10 09:00:00,1980-10-11 09:00:00,1980-10-11 15:00:00,1980-10-11 21:00:00,1980-10-12 09:00:00
2,1980284N09092,1980-10-10 12:00:00,1980-10-11 12:00:00,1980-10-11 18:00:00,1980-10-12 00:00:00,1980-10-12 12:00:00
3,1980284N09092,1980-10-10 15:00:00,1980-10-11 15:00:00,1980-10-11 21:00:00,1980-10-12 03:00:00,1980-10-12 15:00:00
4,1980284N09092,1980-10-10 18:00:00,1980-10-11 18:00:00,1980-10-12 00:00:00,1980-10-12 06:00:00,1980-10-12 18:00:00
5,1980284N09092,1980-10-10 21:00:00,1980-10-11 21:00:00,1980-10-12 03:00:00,1980-10-12 09:00:00,1980-10-12 21:00:00
6,1980284N09092,1980-10-11 00:00:00,1980-10-12 00:00:00,1980-10-12 06:00:00,1980-10-12 12:00:00,1980-10-13 00:00:00
7,1980284N09092,1980-10-11 03:00:00,1980-10-12 03:00:00,1980-10-12 09:00:00,1980-10-12 15:00:00,1980-10-13 03:00:00
8,1980284N09092,1980-10-11 06:00:00,1980-10-12 06:00:00,1980-10-12 12:00:00,1980-10-12 18:00:00,1980-10-13 06:00:00
9,1980284N09092,1980-10-11 09:00:00,1980-10-12 09:00:00,1980-10-12 15:00:00,1980-10-12 21:00:00,1980-10-13 09:00:00
10,1980284N09092,1980-10-11 12:00:00,1980-10-12 12:00:00,1980-10-12 18:00:00,1980-10-13 00:00:00,1980-10-13 12:00:00
11,1980284N09092,1980-10-11 15:00:00,1980-10-12 15:00:00,1980-10-12 21:00:00,1980-10-13 03:00:00,1980-10-13 15:00:00
12,1980284N09092,1980-10-11 18:00:00,1980-10-12 18:00:00,1980-10-13 00:00:00,1980-10-13 06:00:00,1980-10-13 18:00:00
13,1980284N09092,1980-10-11 21:00:00,1980-10-12 21:00:00,1980-10-13 03:00:00,1980-10-13 09:00:00,1980-10-13 21:00:00
14,1980284N09092,1980-10-12 00:00:00,1980-10-13 00:00:00,1980-10-13 06:00:00,1980-10-13 12:00:00,1980-10-14 00:00:00
15,1980284N09092,1980-10-12 03:00:00,1980-10-13 03:00:00,1980-10-13 09:00:00,1980-10-13 15:00:00,1980-10-14 03:00:00
16,1980284N09092,1980-10-12 06:00:00,1980-10-13 06:00:00,1980-10-13 12:00:00,1980-10-13 18:00:00,1980-10-14 06:00:00
17,1980284N09092,1980-10-12 09:00:00,1980-10-13 09:00:00,1980-10-13 15:00:00,1980-10-13 21:00:00,1980-10-14 09:00:00
18,1980284N09092,1980-10-12 12:00:00,1980-10-13 12:00:00,1980-10-13 18:00:00,1980-10-14 00:00:00,1980-10-14 12:00:00
19,1980284N09092,1980-10-12 15:00:00,1980-10-13 15:00:00,1980-10-13 21:00:00,1980-10-14 03:00:00,1980-10-14 15:00:00
20,1980284N09092,1980-10-12 18:00:00,1980-10-13 18:00:00,1980-10-14 00:00:00,1980-10-14 06:00:00,1980-10-14 18:00:00
21,1980284N09092,1980-10-12 21:00:00,1980-10-13 21:00:00,1980-10-14 03:00:00,1980-10-14 09:00:00,1980-10-14 21:00:00
22,1980284N09092,1980-10-13 00:00:00,1980-10-14 00:00:00,1980-10-14 06:00:00,1980-10-14 12:00:00,1980-10-15 00:00:00
23,1980284N09092,1980-10-13 03:00:00,1980-10-14 03:00:00,1980-10-14 09:00:00,1980-10-14 15:00:00,1980-10-15 03:00:00
24,1980284N09092,1980-10-13 06:00:00,1980-10-14 06:00:00,1980-10-14 12:00:00,1980-10-14 18:00:00,1980-10-15 06:00:00
25,1980284N09092,1980-10-13 09:00:00,1980-10-14 09:00:00,1980-10-14 15:00:00,1980-10-14 21:00:00,1980-10-15 09:00:00
26,1980284N09092,1980-10-13 12:00:00,1980-10-14 12:00:00,1980-10-14 18:00:00,1980-10-15 00:00:00,1980-10-15 12:00:00
27,1980284N09092,1980-10-13 15:00:00,1980-10-14 15:00:00,1980-10-14 21:00:00,1980-10-15 03:00:00,1980-10-15 15:00:00
28,1980284N09092,1980-10-13 18:00:00,1980-10-14 18:00:00,1980-10-15 00:00:00,1980-10-15 06:00:00,1980-10-15 18:00:00
29,1980284N09092,1980-10-13 21:00:00,1980-10-14 21:00:00,1980-10-15 03:00:00,1980-10-15 09:00:00,1980-10-15 21:00:00
30,1980284N09092,1980-10-14 00:00:00,1980-10-15 00:00:00,1980-10-15 06:00:00,1980-10-15 12:00:00,1980-10-16 00:00:00
31,1980284N09092,1980-10-14 03:00:00,1980-10-15 03:00:00,1980-10-15 09:00:00,1980-10-15 15:00:00,1980-10-16 03:00:00
32,1980284N09092,1980-10-14 06:00:00,1980-10-15 06:00:00,1980-10-15 12:00:00,1980-10-15 18:00:00,1980-10-16 06:00:00
33,1980284N09092,1980-10-14 09:00:00,1980-10-15 09:00:00,1980-10-15 15:00:00,1980-10-15 21:00:00,1980-10-16 09:00:00
34,1980284N09092,1980-10-14 12:00:00,1980-10-15 12:00:00,1980-10-15 18:00:00,1980-10-16 00:00:00,1980-10-16 12:00:00
35,1980284N09092,1980-10-14 15:00:00,1980-10-15 15:00:00,1980-10-15 21:00:00,1980-10-16 03:00:00,1980-10-16 15:00:00
36,1980284N09092,1980-10-14 18:00:00,1980-10-15 18:00:00,1980-10-16 00:00:00,1980-10-16 06:00:00,1980-10-16 18:00:00
37,1980284N09092,1980-10-14 21:00:00,1980-10-15 21:00:00,1980-10-16 03:00:00,1980-10-16 09:00:00,1980-10-16 21:00:00
38,1980284N09092,1980-10-15 00:00:00,1980-10-16 00:00:00,1980-10-16 06:00:00,1980-10-16 12:00:00,1980-10-17 00:00:00
39,1980284N09092,1980-10-15 03:00:00,1980-10-16 03:00:00,1980-10-16 09:00:00,1980-10-16 15:00:00,1980-10-17 03:00:00
40,1980284N09092,1980-10-15 06:00:00,1980-10-16 06:00:00,1980-10-16 12:00:00,1980-10-16 18:00:00,1980-10-17 06:00:00
41,1980284N09092,1980-10-15 09:00:00,1980-10-16 09:00:00,1980-10-16 15:00:00,1980-10-16 21:00:00,1980-10-17 09:00:00
42,1980284N09092,1980-10-15 12:00:00,1980-10-16 12:00:00,1980-10-16 18:00:00,1980-10-17 00:00:00,1980-10-17 12:00:00
43,1980284N09092,1980-10-15 15:00:00,1980-10-16 15:00:00,1980-10-16 21:00:00,1980-10-17 03:00:00,1980-10-17 15:00:00
44,1980284N09092,1980-10-15 18:00:00,1980-10-16 18:00:00,1980-10-17 00:00:00,1980-10-17 06:00:00,1980-10-17 18:00:00
45,1980284N09092,1980-10-15 21:00:00,1980-10-16 21:00:00,1980-10-17 03:00:00,1980-10-17 09:00:00,1980-10-17 21:00:00
46,1980284N09092,1980-10-16 00:00:00,1980-10-17 00:00:00,1980-10-17 06:00:00,1980-10-17 12:00:00,1980-10-18 00:00:00
47,1980284N09092,1980-10-16 03:00:00,1980-10-17 03:00:00,1980-10-17 09:00:00,1980-10-17 15:00:00,1980-10-18 03:00:00
48,1980284N09092,1980-10-16 06:00:00,1980-10-17 06:00:00,1980-10-17 12:00:00,1980-10-17 18:00:00,1980-10-18 06:00:00
49,1980284N09092,1980-10-16 09:00:00,1980-10-17 09:00:00,1980-10-17 15:00:00,1980-10-17 21:00:00,1980-10-18 09:00:00
50,1980284N09092,1980-10-16 12:00:00,1980-10-17 12:00:00,1980-10-17 18:00:00,1980-10-18 00:00:00,1980-10-18 12:00:00
51,1980284N09092,1980-10-16 15:00:00,1980-10-17 15:00:00,1980-10-17 21:00:00,1980-10-18 03:00:00,1980-10-18 15:00:00
52,1980284N09092,1980-10-16 18:00:00,1980-10-17 18:00:00,1980-10-18 00:00:00,1980-10-18 06:00:00,1980-10-18 18:00:00
53,1980284N09092,1980-10-16 21:00:00,1980-10-17 21:00:00,1980-10-18 03:00:00,1980-10-18 09:00:00,1980-10-18 21:00:00
54,1980284N09092,1980-10-17 00:00:00,1980-10-18 00:00:00,1980-10-18 06:00:00,1980-10-18 12:00:00,1980-10-19 00:00:00
55,1980284N09092,1980-10-17 03:00:00,1980-10-18 03:00:00,1980-10-18 09:00:00,1980-10-18 15:00:00,1980-10-19 03:00:00
56,1980284N09092,1980-10-17 06:00:00,1980-10-18 06:00:00,1980-10-18 12:00:00,1980-10-18 18:00:00,1980-10-19 06:00:00
57,1980284N09092,1980-10-17 09:00:00,1980-10-18 09:00:00,1980-10-18 15:00:00,1980-10-18 21:00:00,1980-10-19 09:00:00
58,1980284N09092,1980-10-17 12:00:00,1980-10-18 12:00:00,1980-10-18 18:00:00,1980-10-19 00:00:00,1980-10-19 12:00:00
59,1980284N09092,1980-10-17 15:00:00,1980-10-18 15:00:00,1980-10-18 21:00:00,1980-10-19 03:00:00,1980-10-19 15:00:00
60,1980284N09092,1980-10-17 18:00:00,1980-10-18 18:00:00,1980-10-19 00:00:00,1980-10-19 06:00:00,1980-10-19 18:00:00
61,1980284N09092,1980-10-17 21:00:00,1980-10-18 21:00:00,1980-10-19 03:00:00,1980-10-19 09:00:00,1980-10-19 21:00:00
62,1980284N09092,1980-10-18 00:00:00,1980-10-19 00:00:00,1980-10-19 06:00:00,1980-10-19 12:00:00,1980-10-20 00:00:00
63,1980290N10088,1980-10-16 00:00:00,1980-10-17 00:00:00,1980-10-17 06:00:00,1980-10-17 12:00:00,1980-10-18 00:00:00
64,1980290N10088,1980-10-16 03:00:00,1980-10-17 03:00:00,1980-10-17 09:00:00,1980-10-17 15:00:00,1980-10-18 03:00:00
65,1980290N10088,1980-10-16 06:00:00,1980-10-17 06:00:00,1980-10-17 12:00:00,1980-10-17 18:00:00,1980-10-18 06:00:00
66,1980290N10088,1980-10-16 09:00:00,1980-10-17 09:00:00,1980-10-17 15:00:00,1980-10-17 21:00:00,1980-10-18 09:00:00
67,1980290N10088,1980-10-16 12:00:00,1980-10-17 12:00:00,1980-10-17 18:00:00,1980-10-18 00:00:00,1980-10-18 12:00:00
68,1980290N10088,1980-10-16 15:00:00,1980-10-17 15:00:00,1980-10-17 21:00:00,1980-10-18 03:00:00,1980-10-18 15:00:00
69,1980290N10088,1980-10-16 18:00:00,1980-10-17 18:00:00,1980-10-18 00:00:00,1980-10-18 06:00:00,1980-10-18 18:00:00
70,1980290N10088,1980-10-16 21:00:00,1980-10-17 21:00:00,1980-10-18 03:00:00,1980-10-18 09:00:00,1980-10-18 21:00:00
71,1980290N10088,1980-10-17 00:00:00,1980-10-18 00:00:00,1980-10-18 06:00:00,1980-10-18 12:00:00,1980-10-19 00:00:00
72,1980338N09085,1980-12-03 00:00:00,1980-12-04 00:00:00,1980-12-04 06:00:00,1980-12-04 12:00:00,1980-12-05 00:00:00
73,1980338N09085,1980-12-03 03:00:00,1980-12-04 03:00:00,1980-12-04 09:00:00,1980-12-04 15:00:00,1980-12-05 03:00:00
74,1980338N09085,1980-12-03 06:00:00,1980-12-04 06:00:00,1980-12-04 12:00:00,1980-12-04 18:00:00,1980-12-05 06:00:00
75,1980338N09085,1980-12-03 09:00:00,1980-12-04 09:00:00,1980-12-04 15:00:00,1980-12-04 21:00:00,1980-12-05 09:00:00
76,1980338N09085,1980-12-03 12:00:00,1980-12-04 12:00:00,1980-12-04 18:00:00,1980-12-05 00:00:00,1980-12-05 12:00:00
77,1980338N09085,1980-12-03 15:00:00,1980-12-04 15:00:00,1980-12-04 21:00:00,1980-12-05 03:00:00,1980-12-05 15:00:00
78,1980338N09085,1980-12-03 18:00:00,1980-12-04 18:00:00,1980-12-05 00:00:00,1980-12-05 06:00:00,1980-12-05 18:00:00
79,1980338N09085,1980-12-03 21:00:00,1980-12-04 21:00:00,1980-12-05 03:00:00,1980-12-05 09:00:00,1980-12-05 21:00:00
80,1980338N09085,1980-12-04 00:00:00,1980-12-05 00:00:00,1980-12-05 06:00:00,1980-12-05 12:00:00,1980-12-06 00:00:00
81,1980338N09085,1980-12-04 03:00:00,1980-12-05 03:00:00,1980-12-05 09:00:00,1980-12-05 15:00:00,1980-12-06 03:00:00
82,1980338N09085,1980-12-04 06:00:00,1980-12-05 06:00:00,1980-12-05 12:00:00,1980-12-05 18:00:00,1980-12-06 06:00:00
83,1980338N09085,1980-12-04 09:00:00,1980-12-05 09:00:00,1980-12-05 15:00:00,1980-12-05 21:00:00,1980-12-06 09:00:00
84,1980338N09085,1980-12-04 12:00:00,1980-12-05 12:00:00,1980-12-05 18:00:00,1980-12-06 00:00:00,1980-12-06 12:00:00
85,1980338N09085,1980-12-04 15:00:00,1980-12-05 15:00:00,1980-12-05 21:00:00,1980-12-06 03:00:00,1980-12-06 15:00:00
86,1980338N09085,1980-12-04 18:00:00,1980-12-05 18:00:00,1980-12-06 00:00:00,1980-12-06 06:00:00,1980-12-06 18:00:00
87,1980338N09085,1980-12-04 21:00:00,1980-12-05 21:00:00,1980-12-06 03:00:00,1980-12-06 09:00:00,1980-12-06 21:00:00
88,1980338N09085,1980-12-05 00:00:00,1980-12-06 00:00:00,1980-12-06 06:00:00,1980-12-06 12:00:00,1980-12-07 00:00:00
89,1980338N09085,1980-12-05 03:00:00,1980-12-06 03:00:00,1980-12-06 09:00:00,1980-12-06 15:00:00,1980-12-07 03:00:00
90,1980338N09085,1980-12-05 06:00:00,1980-12-06 06:00:00,1980-12-06 12:00:00,1980-12-06 18:00:00,1980-12-07 06:00:00
91,1980338N09085,1980-12-05 09:00:00,1980-12-06 09:00:00,1980-12-06 15:00:00,1980-12-06 21:00:00,1980-12-07 09:00:00
92,1980338N09085,1980-12-05 12:00:00,1980-12-06 12:00:00,1980-12-06 18:00:00,1980-12-07 00:00:00,1980-12-07 12:00:00
93,1981283N07132,1981-10-12 12:00:00,1981-10-13 12:00:00,1981-10-13 18:00:00,1981-10-14 00:00:00,1981-10-14 12:00:00
94,1981283N07132,1981-10-12 15:00:00,1981-10-13 15:00:00,1981-10-13 21:00:00,1981-10-14 03:00:00,1981-10-14 15:00:00
95,1981283N07132,1981-10-12 18:00:00,1981-10-13 18:00:00,1981-10-14 00:00:00,1981-10-14 06:00:00,1981-10-14 18:00:00
96,1981283N07132,1981-10-12 21:00:00,1981-10-13 21:00:00,1981-10-14 03:00:00,1981-10-14 09:00:00,1981-10-14 21:00:00
97,1981283N07132,1981-10-13 00:00:00,1981-10-14 00:00:00,1981-10-14 06:00:00,1981-10-14 12:00:00,1981-10-15 00:00:00
98,1981283N07132,1981-10-13 03:00:00,1981-10-14 03:00:00,1981-10-14 09:00:00,1981-10-14 15:00:00,1981-10-15 03:00:00
99,1982214N23090,1982-08-02 03:00:00,1982-08-03 03:00:00,1982-08-03 09:00:00,1982-08-03 15:00:00,1982-08-04 03:00:00
100,1982239N19089,1982-08-27 03:00:00,1982-08-28 03:00:00,1982-08-28 09:00:00,1982-08-28 15:00:00,1982-08-29 03:00:00
101,1982239N19089,1982-08-27 06:00:00,1982-08-28 06:00:00,1982-08-28 12:00:00,1982-08-28 18:00:00,1982-08-29 06:00:00
102,1982239N19089,1982-08-27 09:00:00,1982-08-28 09:00:00,1982-08-28 15:00:00,1982-08-28 21:00:00,1982-08-29 09:00:00
103,1982239N19089,1982-08-27 12:00:00,1982-08-28 12:00:00,1982-08-28 18:00:00,1982-08-29 00:00:00,1982-08-29 12:00:00
104,1982239N19089,1982-08-27 15:00:00,1982-08-28 15:00:00,1982-08-28 21:00:00,1982-08-29 03:00:00,1982-08-29 15:00:00
105,1982239N19089,1982-08-27 18:00:00,1982-08-28 18:00:00,1982-08-29 00:00:00,1982-08-29 06:00:00,1982-08-29 18:00:00
