split,sample_index,cyclone_id,t_zero,input_start,input_end,target_start,target_end,leakage_detected,reason
train,0,2013130N04093,2013-05-10 18:00:00,2013-05-09 18:00:00,2013-05-10 18:00:00,2013-05-11 00:00:00,2013-05-11 18:00:00,False,none
train,1,2013130N04093,2013-05-10 21:00:00,2013-05-09 21:00:00,2013-05-10 21:00:00,2013-05-11 03:00:00,2013-05-11 21:00:00,False,none
train,2,2013130N04093,2013-05-11 00:00:00,2013-05-10 00:00:00,2013-05-11 00:00:00,2013-05-11 06:00:00,2013-05-12 00:00:00,False,none
train,3,2013130N04093,2013-05-11 03:00:00,2013-05-10 03:00:00,2013-05-11 03:00:00,2013-05-11 09:00:00,2013-05-12 03:00:00,False,none
train,4,2013130N04093,2013-05-11 06:00:00,2013-05-10 06:00:00,2013-05-11 06:00:00,2013-05-11 12:00:00,2013-05-12 06:00:00,False,none
train,5,2013130N04093,2013-05-11 09:00:00,2013-05-10 09:00:00,2013-05-11 09:00:00,2013-05-11 15:00:00,2013-05-12 09:00:00,False,none
train,6,2013130N04093,2013-05-11 12:00:00,2013-05-10 12:00:00,2013-05-11 12:00:00,2013-05-11 18:00:00,2013-05-12 12:00:00,False,none
train,7,2013130N04093,2013-05-11 15:00:00,2013-05-10 15:00:00,2013-05-11 15:00:00,2013-05-11 21:00:00,2013-05-12 15:00:00,False,none
train,8,2013130N04093,2013-05-11 18:00:00,2013-05-10 18:00:00,2013-05-11 18:00:00,2013-05-12 00:00:00,2013-05-12 18:00:00,False,none
train,9,2013130N04093,2013-05-11 21:00:00,2013-05-10 21:00:00,2013-05-11 21:00:00,2013-05-12 03:00:00,2013-05-12 21:00:00,False,none
train,10,2013130N04093,2013-05-12 00:00:00,2013-05-11 00:00:00,2013-05-12 00:00:00,2013-05-12 06:00:00,2013-05-13 00:00:00,False,none
train,11,2013130N04093,2013-05-12 03:00:00,2013-05-11 03:00:00,2013-05-12 03:00:00,2013-05-12 09:00:00,2013-05-13 03:00:00,False,none
train,12,2013130N04093,2013-05-12 06:00:00,2013-05-11 06:00:00,2013-05-12 06:00:00,2013-05-12 12:00:00,2013-05-13 06:00:00,False,none
train,13,2013130N04093,2013-05-12 09:00:00,2013-05-11 09:00:00,2013-05-12 09:00:00,2013-05-12 15:00:00,2013-05-13 09:00:00,False,none
train,14,2013130N04093,2013-05-12 12:00:00,2013-05-11 12:00:00,2013-05-12 12:00:00,2013-05-12 18:00:00,2013-05-13 12:00:00,False,none
train,15,2013130N04093,2013-05-12 15:00:00,2013-05-11 15:00:00,2013-05-12 15:00:00,2013-05-12 21:00:00,2013-05-13 15:00:00,False,none
train,16,2013130N04093,2013-05-12 18:00:00,2013-05-11 18:00:00,2013-05-12 18:00:00,2013-05-13 00:00:00,2013-05-13 18:00:00,False,none
train,17,2013130N04093,2013-05-12 21:00:00,2013-05-11 21:00:00,2013-05-12 21:00:00,2013-05-13 03:00:00,2013-05-13 21:00:00,False,none
train,18,2013130N04093,2013-05-13 00:00:00,2013-05-12 00:00:00,2013-05-13 00:00:00,2013-05-13 06:00:00,2013-05-14 00:00:00,False,none
train,19,2013130N04093,2013-05-13 03:00:00,2013-05-12 03:00:00,2013-05-13 03:00:00,2013-05-13 09:00:00,2013-05-14 03:00:00,False,none
train,20,2013130N04093,2013-05-13 06:00:00,2013-05-12 06:00:00,2013-05-13 06:00:00,2013-05-13 12:00:00,2013-05-14 06:00:00,False,none
train,21,2013130N04093,2013-05-13 09:00:00,2013-05-12 09:00:00,2013-05-13 09:00:00,2013-05-13 15:00:00,2013-05-14 09:00:00,False,none
train,22,2013130N04093,2013-05-13 12:00:00,2013-05-12 12:00:00,2013-05-13 12:00:00,2013-05-13 18:00:00,2013-05-14 12:00:00,False,none
train,23,2013130N04093,2013-05-13 15:00:00,2013-05-12 15:00:00,2013-05-13 15:00:00,2013-05-13 21:00:00,2013-05-14 15:00:00,False,none
train,24,2013130N04093,2013-05-13 18:00:00,2013-05-12 18:00:00,2013-05-13 18:00:00,2013-05-14 00:00:00,2013-05-14 18:00:00,False,none
train,25,2013130N04093,2013-05-13 21:00:00,2013-05-12 21:00:00,2013-05-13 21:00:00,2013-05-14 03:00:00,2013-05-14 21:00:00,False,none
train,26,2013130N04093,2013-05-14 00:00:00,2013-05-13 00:00:00,2013-05-14 00:00:00,2013-05-14 06:00:00,2013-05-15 00:00:00,False,none
train,27,2013130N04093,2013-05-14 03:00:00,2013-05-13 03:00:00,2013-05-14 03:00:00,2013-05-14 09:00:00,2013-05-15 03:00:00,False,none
train,28,2013130N04093,2013-05-14 06:00:00,2013-05-13 06:00:00,2013-05-14 06:00:00,2013-05-14 12:00:00,2013-05-15 06:00:00,False,none
train,29,2013130N04093,2013-05-14 09:00:00,2013-05-13 09:00:00,2013-05-14 09:00:00,2013-05-14 15:00:00,2013-05-15 09:00:00,False,none
train,30,2013130N04093,2013-05-14 12:00:00,2013-05-13 12:00:00,2013-05-14 12:00:00,2013-05-14 18:00:00,2013-05-15 12:00:00,False,none
train,31,2013130N04093,2013-05-14 15:00:00,2013-05-13 15:00:00,2013-05-14 15:00:00,2013-05-14 21:00:00,2013-05-15 15:00:00,False,none
train,32,2013130N04093,2013-05-14 18:00:00,2013-05-13 18:00:00,2013-05-14 18:00:00,2013-05-15 00:00:00,2013-05-15 18:00:00,False,none
train,33,2013130N04093,2013-05-14 21:00:00,2013-05-13 21:00:00,2013-05-14 21:00:00,2013-05-15 03:00:00,2013-05-15 21:00:00,False,none
train,34,2013130N04093,2013-05-15 00:00:00,2013-05-14 00:00:00,2013-05-15 00:00:00,2013-05-15 06:00:00,2013-05-16 00:00:00,False,none
train,35,2013130N04093,2013-05-15 03:00:00,2013-05-14 03:00:00,2013-05-15 03:00:00,2013-05-15 09:00:00,2013-05-16 03:00:00,False,none
train,36,2013130N04093,2013-05-15 06:00:00,2013-05-14 06:00:00,2013-05-15 06:00:00,2013-05-15 12:00:00,2013-05-16 06:00:00,False,none
train,37,2013130N04093,2013-05-15 09:00:00,2013-05-14 09:00:00,2013-05-15 09:00:00,2013-05-15 15:00:00,2013-05-16 09:00:00,False,none
