cyclone_id,split,storm_start,storm_end,number_of_sequences
2013130N04093,train,2013-05-09 18:00:00,2013-05-16 18:00:00,41
2013149N21090,train,2013-05-29 03:00:00,2013-05-31 09:00:00,3
2013281N12098,train,2013-10-07 12:00:00,2013-10-14 06:00:00,39
2013305N07141,train,2013-11-01 06:00:00,2013-11-21 00:00:00,143
2013310N06066,train,2013-11-06 00:00:00,2013-11-12 00:00:00,33
2013322N13090,train,2013-11-18 00:00:00,2013-11-23 06:00:00,27
2013324N07103,train,2013-11-19 18:00:00,2013-11-29 00:00:00,59
2013339N09084,train,2013-12-05 00:00:00,2013-12-12 18:00:00,47
2014003N08086,train,2014-01-02 18:00:00,2014-01-08 12:00:00,31
2014159N12068,train,2014-06-08 06:00:00,2014-06-14 12:00:00,35
2014216N21089,train,2014-08-03 12:00:00,2014-08-07 00:00:00,13
2014279N11096,train,2014-10-06 06:00:00,2014-10-14 09:00:00,50
2014297N11062,train,2014-10-23 12:00:00,2014-11-01 12:00:00,57
2014309N13088,train,2014-11-05 00:00:00,2014-11-09 06:00:00,19
2015157N13069,train,2015-06-06 06:00:00,2015-06-12 06:00:00,33
2015173N20067,train,2015-06-22 03:00:00,2015-06-24 18:00:00,6
2015207N22091,train,2015-07-26 00:00:00,2015-08-02 09:00:00,44
2015280N13071,train,2015-10-07 00:00:00,2015-10-12 00:00:00,25
2015301N11065,train,2015-10-27 12:00:00,2015-11-04 00:00:00,45
2015309N14067,train,2015-11-04 12:00:00,2015-11-10 12:00:00,33
2015312N11084,train,2015-11-08 03:00:00,2015-11-10 03:00:00,1
2016138N10081,train,2016-05-17 00:00:00,2016-05-22 00:00:00,25
2016178N22068,train,2016-06-26 06:00:00,2016-06-29 00:00:00,7
2016230N21089,train,2016-08-16 12:00:00,2016-08-20 18:00:00,19
2016295N13089,train,2016-10-21 00:00:00,2016-10-29 06:00:00,51
2016308N13088,train,2016-11-02 18:00:00,2016-11-06 09:00:00,14
2016335N07088,train,2016-11-29 12:00:00,2016-12-02 06:00:00,7
2016341N08092,train,2016-12-06 06:00:00,2016-12-19 00:00:00,87
2017104N08085,train,2017-04-14 00:00:00,2017-04-17 00:00:00,9
2017147N14087,train,2017-05-27 06:00:00,2017-05-30 18:00:00,13
2017319N15083,train,2017-11-15 03:00:00,2017-11-17 03:00:00,1
2017333N06082,train,2017-11-28 18:00:00,2017-12-05 18:00:00,41
2017340N09089,train,2017-12-06 03:00:00,2017-12-10 06:00:00,18
2018136N11054,train,2018-05-15 18:00:00,2018-05-20 06:00:00,21
2018141N08059,train,2018-05-21 06:00:00,2018-05-27 06:00:00,33
2018148N17090,train,2018-05-28 00:00:00,2018-05-30 03:00:00,2
2018263N17089,train,2018-09-19 15:00:00,2018-09-22 06:00:00,6
2018279N11069,train,2018-10-05 18:00:00,2018-10-15 00:00:00,59
2018281N14088,train,2018-10-08 00:00:00,2018-10-12 21:00:00,24
2018314N12093,train,2018-11-10 03:00:00,2018-11-19 12:00:00,60
2018347N07089,train,2018-12-13 00:00:00,2018-12-17 18:00:00,23
2018365N08115,train,2018-12-30 12:00:00,2019-01-07 18:00:00,51
2019116N02090,train,2019-04-25 18:00:00,2019-05-04 12:00:00,55
2019160N11073,train,2019-06-08 18:00:00,2019-06-18 06:00:00,61
2019218N21088,train,2019-08-06 03:00:00,2019-08-09 06:00:00,10
2019264N19071,train,2019-09-20 18:00:00,2019-09-26 06:00:00,29
2019296N15066,train,2019-10-22 18:00:00,2019-11-03 06:00:00,77
2019301N05081,train,2019-10-28 06:00:00,2019-11-11 00:00:00,95
2019302N11118,train,2019-10-28 12:00:00,2019-11-11 00:00:00,93
2019335N05058,train,2019-11-30 18:00:00,2019-12-07 18:00:00,41
2019337N11072,train,2019-12-02 12:00:00,2019-12-06 06:00:00,15
2020136N10088,train,2020-05-15 06:00:00,2020-05-21 12:00:00,35
2020153N13072,train,2020-05-31 18:00:00,2020-06-04 06:00:00,13
2020285N15087,train,2020-10-11 00:00:00,2020-10-14 06:00:00,11
2020326N11063,train,2020-11-20 12:00:00,2020-11-24 12:00:00,17
2020327N08086,train,2020-11-22 06:00:00,2020-11-27 12:00:00,27
2020335N06090,train,2020-11-29 12:00:00,2020-12-05 06:00:00,31
2020353N06129,train,2020-12-17 12:00:00,2020-12-25 12:00:00,49
2021133N10071,train,2021-05-13 06:00:00,2021-05-19 06:00:00,33
2021143N15090,train,2021-05-23 00:00:00,2021-05-27 18:00:00,23
2021256N20087,train,2021-09-12 12:00:00,2021-09-14 18:00:00,3
2021267N18094,train,2021-09-23 18:00:00,2021-10-04 06:00:00,69
2021312N07090,train,2021-11-08 06:00:00,2021-11-11 18:00:00,13
2021335N08096,train,2021-11-30 18:00:00,2021-12-06 06:00:00,29
2022062N06085,train,2022-03-03 00:00:00,2022-03-06 18:00:00,15
2022079N10093,train,2022-03-20 00:00:00,2022-03-23 00:00:00,9
2022126N07095,train,2022-05-05 12:00:00,2022-05-13 06:00:00,47
2022224N22067,train,2022-08-11 18:00:00,2022-08-14 03:00:00,4
2022230N18095,val,2022-08-17 12:00:00,2022-08-23 00:00:00,29
2022295N13093,val,2022-10-21 18:00:00,2022-10-25 00:00:00,11
2022324N10086,val,2022-11-20 00:00:00,2022-11-22 00:00:00,1
2022338N05100,val,2022-12-04 00:00:00,2022-12-10 12:00:00,37
2022347N12074,val,2022-12-12 12:00:00,2022-12-19 00:00:00,37
2022356N09085,val,2022-12-22 03:00:00,2022-12-25 06:00:00,10
2023030N08087,val,2023-01-30 03:00:00,2023-02-02 12:00:00,12
2023129N08091,val,2023-05-08 18:00:00,2023-05-15 00:00:00,35
2023156N10067,val,2023-06-05 00:00:00,2023-06-19 00:00:00,97
2023212N19090,val,2023-07-30 12:00:00,2023-08-03 06:00:00,15
2023292N11063,val,2023-10-19 06:00:00,2023-10-24 12:00:00,27
2023293N12089,val,2023-10-20 06:00:00,2023-10-25 06:00:00,25
2023317N10094,val,2023-11-13 06:00:00,2023-11-18 00:00:00,23
2023334N08088,val,2023-11-30 06:00:00,2023-12-06 06:00:00,33
2024145N14087,val,2024-05-23 12:00:00,2024-05-28 06:00:00,24
2024238N25077,test,2024-08-25 00:00:00,2024-09-03 06:00:00,59
2024244N18085,test,2024-08-31 00:00:00,2024-09-02 06:00:00,3
2024252N18087,test,2024-09-08 00:00:00,2024-09-10 06:00:00,3
2024288N16065,test,2024-10-13 12:00:00,2024-10-15 12:00:00,1
2024295N15092,test,2024-10-21 06:00:00,2024-10-26 00:00:00,23
2024329N04089,test,2024-11-23 18:00:00,2024-12-04 12:00:00,71
2025250N25073,test,2025-09-06 18:00:00,2025-09-10 18:00:00,17
2025266N11137,test,2025-09-22 18:00:00,2025-09-30 12:00:00,47
2025274N16087,test,2025-10-01 06:00:00,2025-10-03 06:00:00,1
2025275N22068,test,2025-10-01 12:00:00,2025-10-07 06:00:00,31
2025295N09068,test,2025-10-22 00:00:00,2025-10-31 18:00:00,63
