iter	Passed	Remaining
0	4	1310
1	9	1402
2	14	1405
3	18	1400
4	23	1396
5	28	1414
6	31	1327
7	35	1291
8	39	1262
9	41	1215
10	45	1200
11	48	1172
12	51	1146
13	54	1122
14	59	1129
15	63	1120
16	66	1105
17	69	1083
18	72	1065
19	74	1044
20	76	1018
21	79	1000
22	81	983
23	84	966
24	87	958
25	89	944
26	92	937
27	95	929
28	98	920
29	101	910
30	103	900
31	106	890
32	108	877
33	110	865
34	112	854
35	115	845
36	118	838
37	120	831
38	123	828
39	126	825
40	129	821
41	132	816
42	135	808
43	138	803
44	140	797
45	142	789
46	145	784
47	148	778
48	151	777
49	155	775
50	158	773
51	161	770
52	165	769
53	168	765
54	171	761
55	173	756
56	176	751
57	179	746
58	181	742
59	184	738
60	187	734
61	190	730
62	193	726
63	195	721
64	198	717
65	200	712
66	203	707
67	206	704
68	209	699
69	211	695
70	214	690
71	216	685
72	219	681
73	221	677
74	224	673
75	227	670
76	230	666
77	232	662
78	235	657
79	237	653
80	239	648
81	242	644
82	245	640
83	247	635
84	249	631
85	251	626
86	254	622
87	256	618
88	259	614
89	261	611
90	264	608
91	267	605
92	270	601
93	272	597
94	275	594
95	278	591
96	280	587
97	283	583
98	285	579
99	287	575
100	290	572
101	293	570
102	296	567
103	299	565
104	302	562
105	305	559
106	308	555
107	310	552
108	312	548
109	315	545
110	318	541
111	321	539
112	323	535
113	326	532
114	329	529
115	332	526
116	335	524
117	338	522
118	341	519
119	344	516
120	346	513
121	349	510
122	352	507
123	355	504
124	358	502
125	361	499
126	364	496
127	366	492
128	369	489
129	371	486
130	374	482
131	376	479
132	379	476
133	381	472
134	384	469
135	386	466
136	389	462
137	391	459
138	394	456
139	396	453
140	399	450
141	401	447
142	404	443
143	406	440
144	409	437
145	411	433
146	413	430
147	416	427
148	418	423
149	420	420
150	422	417
151	425	413
152	427	410
153	429	407
154	432	404
155	434	401
156	437	398
157	439	394
158	441	391
159	443	388
160	446	385
161	448	382
162	451	379
163	453	376
164	456	373
165	458	369
166	460	366
167	462	363
168	464	360
169	466	356
